Transaction ID,Transaction Price,datetime_column
1709,16.11,2018-03-01
2986,16.11,2018-03-01
3003,16.11,2018-03-01
3027,16.11,2018-03-01
3511,16.11,2018-03-01
5134,16.11,2018-03-01
5466,16.11,2018-03-01
6415,16.11,2018-03-01
9325,16.11,2018-03-01
9829,16.11,2018-03-01
11119,16.11,2018-03-01
11448,16.11,2018-03-01
13014,16.11,2018-03-01
14464,16.11,2018-03-01
15765,16.11,2018-03-01
16611,16.11,2018-03-01
709,16.11,2018-03-01
736,16.11,2018-03-01
1552,16.11,2018-03-01
2677,16.11,2018-03-01
3012,16.11,2018-03-01
3404,16.11,2018-03-01
3546,16.11,2018-03-01
3863,16.11,2018-03-01
3892,16.11,2018-03-01
4682,16.11,2018-03-01
4968,16.11,2018-03-01
5139,16.11,2018-03-01
5190,16.11,2018-03-01
5209,16.11,2018-03-01
5305,16.11,2018-03-01
6814,16.11,2018-03-01
7048,16.11,2018-03-01
7364,16.11,2018-03-01
7890,16.11,2018-03-01
9308,16.11,2018-03-01
11387,16.11,2018-03-01
11515,16.11,2018-03-01
12318,16.11,2018-03-01
12405,16.11,2018-03-01
12705,16.11,2018-03-01
13242,16.11,2018-03-01
13534,16.11,2018-03-01
13639,16.11,2018-03-01
13874,16.11,2018-03-01
14439,16.11,2018-03-01
15590,16.11,2018-03-01
15948,16.11,2018-03-01
1134,16.11,2018-03-01
13917,16.11,2018-03-01
11514,16.11,2018-03-01
6274,16.45,2018-03-01
12031,16.45,2018-03-01
1766,16.45,2018-03-01
13362,16.45,2018-03-01
13925,16.45,2018-03-01
1658,16.45,2018-03-01
11388,16.52,2018-03-01
17289,16.52,2018-03-01
9823,16.58,2018-03-01
13234,17.0,2018-03-01
3613,17.39,2018-03-01
12641,17.39,2018-03-01
3871,17.75,2018-03-01
11819,18.3,2018-03-01
1865,18.32,2018-03-01
9052,18.32,2018-03-01
1351,18.59,2018-03-01
16038,19.11,2018-03-01
1526,19.26,2018-03-01
6141,19.26,2018-03-01
7367,19.26,2018-03-01
7650,19.26,2018-03-01
8294,19.26,2018-03-01
10961,19.26,2018-03-01
12974,19.26,2018-03-01
16681,19.26,2018-03-01
13003,19.51,2018-03-01
2138,19.51,2018-03-01
